,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.08,82.31,73,80,9.01,MV,1576233078
1,sao filipe,14.9,-24.5,74.34,62,21,16.02,CV,1576233078
2,salalah,17.01,54.1,84.2,62,0,9.17,OM,1576233078
3,shache,38.42,77.24,33.01,80,98,2.24,CN,1576233078
4,clyde river,70.47,-68.59,-9.22,73,96,9.62,CA,1576233078
5,norman wells,65.28,-126.83,-11.2,69,5,12.75,CA,1576233079
6,albany,42.65,-73.75,30.99,63,75,9.17,US,1576233025
7,jamestown,-33.21,138.6,58.23,58,63,10.56,AU,1576233079
8,yellowknife,62.45,-114.38,-27.99,65,5,4.7,CA,1576233080
9,atuona,-9.8,-139.03,78.78,57,0,4.9,PF,1576233080
10,bredasdorp,-34.53,20.04,77.0,53,43,18.34,ZA,1576233080
11,komsomolskiy,67.55,63.78,5.02,97,98,3.27,RU,1576233081
12,vega de alatorre,20.03,-96.65,68.07,83,47,10.2,MX,1576233081
13,plastun,44.76,136.29,19.31,77,100,3.78,RU,1576233082
14,longyearbyen,78.22,15.63,23.0,67,75,26.4,NO,1576233082
15,bethel,60.79,-161.76,21.2,85,90,12.75,US,1576233082
16,elat,2.91,11.16,80.82,67,100,2.73,CM,1576233082
17,carnarvon,-30.97,22.13,89.67,12,0,15.14,ZA,1576233083
18,rikitea,-23.12,-134.97,73.2,79,77,24.07,PF,1576233083
19,ushuaia,-54.81,-68.31,41.0,80,75,4.7,AR,1576232918
20,bharatpur,27.22,77.5,65.97,65,7,0.67,IN,1576233083
21,dingle,11.0,122.67,74.44,93,21,9.4,PH,1576233084
22,avera,33.19,-82.53,39.2,86,90,10.29,US,1576233084
23,los llanos de aridane,28.66,-17.92,66.2,55,75,10.29,ES,1576233084
24,nanning,22.83,108.3,73.4,53,0,2.24,CN,1576233084
25,bismarck,46.81,-100.78,23.0,85,75,5.82,US,1576233084
26,thompson,55.74,-97.86,-34.6,65,5,3.4,CA,1576233013
27,moose factory,51.26,-80.61,-25.6,74,1,3.36,CA,1576233085
28,puerto ayora,-0.74,-90.35,71.01,86,5,8.99,EC,1576233085
29,lingao,19.91,109.69,71.13,85,92,19.73,CN,1576233085
30,nizhniy tsasuchey,50.52,115.13,11.89,82,0,4.97,RU,1576233085
31,aksu,52.04,76.93,33.8,100,90,4.47,KZ,1576233086
32,constitucion,23.99,-104.67,43.0,49,0,8.99,MX,1576233086
33,natchitoches,31.76,-93.09,48.2,100,90,2.95,US,1576233086
34,zhigansk,66.77,123.37,-30.05,94,61,10.04,RU,1576233086
35,tezu,27.93,96.16,62.53,57,83,4.29,IN,1576233086
36,busselton,-33.64,115.35,93.0,5,0,12.86,AU,1576233087
37,severo-kurilsk,50.68,156.12,25.11,89,100,8.46,RU,1576233087
38,lakes entrance,-37.88,147.99,64.0,61,100,16.06,AU,1576233087
39,inirida,3.87,-67.92,75.74,91,99,1.23,CO,1576233088
